,Fp1,FT9,FT10,Fp2,AF7,AF3,AFz,AF4
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.4935064935064935,0.0,0.0,0.0,0.0,0.0,0.5064935064935064
FT10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF4,0.0,0.4588235294117647,0.0,0.0,0.0,0.0,0.0,0.5411764705882353
