,entorhinal-lh,frontalpole-lh,frontalpole-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,rostralanteriorcingulate-lh,temporalpole-lh,temporalpole-rh
entorhinal-lh,0.5949367088607594,0.0,0.0,0.0,0.0,0.0,0.4050632911392405,0.0
frontalpole-lh,0.0,0.48484848484848486,0.18181818181818182,0.04040404040404041,0.030303030303030304,0.1919191919191919,0.0,0.0707070707070707
frontalpole-rh,0.0,0.1276595744680851,0.40425531914893614,0.18617021276595744,0.19148936170212766,0.0425531914893617,0.0,0.047872340425531915
medialorbitofrontal-lh,0.0,0.051470588235294115,0.2867647058823529,0.33088235294117646,0.33088235294117646,0.0,0.0,0.0
medialorbitofrontal-rh,0.0,0.035,0.21,0.235,0.48,0.0,0.005,0.035
rostralanteriorcingulate-lh,0.0,0.25675675675675674,0.08108108108108109,0.0,0.0,0.5,0.0,0.16216216216216217
temporalpole-lh,0.3561643835616438,0.0,0.0,0.0,0.0,0.0,0.6438356164383562,0.0
temporalpole-rh,0.0,0.058823529411764705,0.058823529411764705,0.0,0.08403361344537816,0.08403361344537816,0.0,0.7142857142857143
