,caudalanteriorcingulate-lh,cuneus-rh,frontalpole-lh,isthmuscingulate-rh,lateraloccipital-rh,paracentral-rh,precuneus-rh,superiorparietal-rh
caudalanteriorcingulate-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
cuneus-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
frontalpole-lh,0.11475409836065574,0.11475409836065574,0.14754098360655737,0.11475409836065574,0.13114754098360656,0.11475409836065574,0.13114754098360656,0.13114754098360656
isthmuscingulate-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
lateraloccipital-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
paracentral-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
precuneus-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
superiorparietal-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
