,caudalanteriorcingulate-lh,insula-lh,paracentral-lh,paracentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh
caudalanteriorcingulate-lh,0.13253012048192772,0.10843373493975904,0.12048192771084337,0.13253012048192772,0.10843373493975904,0.13253012048192772,0.13253012048192772,0.13253012048192772
insula-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
paracentral-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
paracentral-rh,0.1282051282051282,0.11538461538461539,0.1282051282051282,0.1282051282051282,0.11538461538461539,0.1282051282051282,0.1282051282051282,0.1282051282051282
posteriorcingulate-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
posteriorcingulate-rh,0.1282051282051282,0.11538461538461539,0.1282051282051282,0.1282051282051282,0.11538461538461539,0.1282051282051282,0.1282051282051282,0.1282051282051282
rostralanteriorcingulate-lh,0.1282051282051282,0.11538461538461539,0.1282051282051282,0.1282051282051282,0.11538461538461539,0.1282051282051282,0.1282051282051282,0.1282051282051282
rostralanteriorcingulate-rh,0.13253012048192772,0.10843373493975904,0.12048192771084337,0.13253012048192772,0.10843373493975904,0.13253012048192772,0.13253012048192772,0.13253012048192772
