,frontalpole-lh,frontalpole-rh,lateraloccipital-lh,medialorbitofrontal-rh,parahippocampal-lh,posteriorcingulate-rh,superiorparietal-lh,temporalpole-lh
frontalpole-lh,0.24731182795698925,0.25806451612903225,0.0,0.24731182795698925,0.0,0.24731182795698925,0.0,0.0
frontalpole-rh,0.24210526315789474,0.25263157894736843,0.0,0.25263157894736843,0.0,0.25263157894736843,0.0,0.0
lateraloccipital-lh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
medialorbitofrontal-rh,0.23595505617977527,0.24719101123595505,0.0,0.25842696629213485,0.0,0.25842696629213485,0.0,0.0
parahippocampal-lh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
posteriorcingulate-rh,0.23595505617977527,0.24719101123595505,0.0,0.25842696629213485,0.0,0.25842696629213485,0.0,0.0
superiorparietal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
temporalpole-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855
