,Fp1,P3,O1,F5,P5,PO3,PO8,AF8
Fp1,0.41839762611275966,0.13649851632047477,0.19287833827893175,0.0,0.0,0.0,0.2522255192878338,0.0
P3,0.25136612021857924,0.2459016393442623,0.25136612021857924,0.0,0.0,0.0,0.25136612021857924,0.0
O1,0.2708333333333333,0.19166666666666668,0.26666666666666666,0.0,0.0,0.0,0.2708333333333333,0.0
F5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PO3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PO8,0.30604982206405695,0.16370106761565836,0.2313167259786477,0.0,0.0,0.0,0.298932384341637,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
