,frontalpole-rh,inferiortemporal-rh,isthmuscingulate-lh,medialorbitofrontal-rh,parahippocampal-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,transversetemporal-rh
frontalpole-rh,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0
inferiortemporal-rh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
isthmuscingulate-lh,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,0.0
medialorbitofrontal-rh,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0
parahippocampal-rh,0.0,0.0,0.26666666666666666,0.0,0.7333333333333333,0.0,0.0,0.0
rostralanteriorcingulate-lh,0.22727272727272727,0.0,0.0,0.22727272727272727,0.0,0.3181818181818182,0.22727272727272727,0.0
rostralanteriorcingulate-rh,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0
transversetemporal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
