,caudalmiddlefrontal-rh,frontalpole-lh,lateraloccipital-lh,medialorbitofrontal-lh,parsorbitalis-lh,pericalcarine-lh,temporalpole-rh,transversetemporal-lh
caudalmiddlefrontal-rh,0.8285714285714286,0.11428571428571428,0.0,0.05714285714285714,0.0,0.0,0.0,0.0
frontalpole-lh,0.1111111111111111,0.46296296296296297,0.0,0.42592592592592593,0.0,0.0,0.0,0.0
lateraloccipital-lh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
medialorbitofrontal-lh,0.057971014492753624,0.36231884057971014,0.0,0.4492753623188406,0.014492753623188406,0.11594202898550725,0.0,0.0
parsorbitalis-lh,0.0,0.0,0.0,0.4,0.2,0.4,0.0,0.0
pericalcarine-lh,0.0,0.1,0.0,0.45,0.05,0.4,0.0,0.0
temporalpole-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transversetemporal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
