,F7,FC5,FC1,CP5,P7,FC3,C5,PO7
F7,0.5287356321839081,0.0,0.0,0.0,0.0,0.0,0.0,0.47126436781609193
FC5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO7,0.5061728395061729,0.0,0.0,0.0,0.0,0.0,0.0,0.49382716049382713
