,F3,FC5,C3,F8,AF7,AF3,F1,FT7
F3,0.17,0.16,0.175,0.0,0.175,0.0,0.16,0.16
FC5,0.15,0.17,0.175,0.0,0.165,0.0,0.17,0.17
C3,0.125,0.125,0.36428571428571427,0.0,0.1357142857142857,0.0,0.125,0.125
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.1588785046728972,0.16355140186915887,0.17757009345794392,0.0,0.17289719626168223,0.0,0.16355140186915887,0.16355140186915887
AF3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
F1,0.15,0.17,0.175,0.0,0.165,0.0,0.17,0.17
FT7,0.15,0.17,0.175,0.0,0.165,0.0,0.17,0.17
