,caudalmiddlefrontal-rh,parstriangularis-rh,postcentral-rh,precentral-rh,rostralmiddlefrontal-rh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh
caudalmiddlefrontal-rh,0.6363636363636364,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0
parstriangularis-rh,0.0,0.5166666666666667,0.0,0.0,0.23333333333333334,0.0,0.0,0.25
postcentral-rh,0.0,0.0,0.5,0.0,0.0,0.25,0.25,0.0
precentral-rh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
rostralmiddlefrontal-rh,0.2894736842105263,0.21052631578947367,0.0,0.0,0.5,0.0,0.0,0.0
superiorparietal-rh,0.0,0.0,0.5,0.0,0.0,0.25,0.25,0.0
superiortemporal-lh,0.0,0.0,0.5,0.0,0.0,0.25,0.25,0.0
superiortemporal-rh,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.5714285714285714
