,FC5,C3,Pz,O1,Oz,FT7,PO3,AF8
FC5,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.0,0.0,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT7,0.0,0.0,0.0,0.1875,0.0,0.8125,0.0,0.0
PO3,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
