,Fp1,FT9,TP9,F8,AFz,F5,AF8,FCz
Fp1,0.3076923076923077,0.0,0.3076923076923077,0.0,0.0,0.0,0.38461538461538464,0.0
FT9,0.0,0.5714285714285714,0.0,0.0,0.0,0.42857142857142855,0.0,0.0
TP9,0.2,0.0,0.35,0.0,0.0,0.0,0.45,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
AF8,0.18181818181818182,0.0,0.36363636363636365,0.0,0.0,0.0,0.45454545454545453,0.0
FCz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
