,postcentral-rh,precentral-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-rh,supramarginal-rh
postcentral-rh,0.225,0.06666666666666667,0.06666666666666667,0.08333333333333333,0.125,0.11666666666666667,0.13333333333333333,0.18333333333333332
precentral-rh,0.2,0.16,0.02,0.06,0.06,0.18,0.16,0.16
superiorfrontal-lh,0.0625,0.013888888888888888,0.25,0.1597222222222222,0.1527777777777778,0.14583333333333334,0.1388888888888889,0.0763888888888889
superiorfrontal-rh,0.08148148148148149,0.02962962962962963,0.15555555555555556,0.2,0.13333333333333333,0.17777777777777778,0.1259259259259259,0.0962962962962963
superiorparietal-lh,0.09803921568627451,0.0196078431372549,0.1437908496732026,0.12418300653594772,0.27450980392156865,0.13725490196078433,0.13725490196078433,0.06535947712418301
superiorparietal-rh,0.1032258064516129,0.05161290322580645,0.12903225806451613,0.16129032258064516,0.13548387096774195,0.2,0.12258064516129032,0.0967741935483871
superiortemporal-rh,0.1111111111111111,0.04861111111111111,0.125,0.09722222222222222,0.1388888888888889,0.1111111111111111,0.24305555555555555,0.125
supramarginal-rh,0.17094017094017094,0.06837606837606838,0.07692307692307693,0.09401709401709402,0.08547008547008547,0.1282051282051282,0.15384615384615385,0.2222222222222222
