,postcentral-lh,postcentral-rh,precentral-lh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh
postcentral-lh,0.7407407407407407,0.0,0.0,0.0,0.0,0.1111111111111111,0.07407407407407407,0.07407407407407407
postcentral-rh,0.0,0.6,0.05,0.15,0.0,0.0,0.0,0.2
precentral-lh,0.03225806451612903,0.0967741935483871,0.5483870967741935,0.06451612903225806,0.0,0.0,0.16129032258064516,0.0967741935483871
superiorparietal-lh,0.08,0.04,0.16,0.56,0.0,0.0,0.12,0.04
superiorparietal-rh,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.09090909090909091
superiortemporal-lh,0.0625,0.0,0.0,0.0,0.0,0.9375,0.0,0.0
superiortemporal-rh,0.0425531914893617,0.0,0.06382978723404255,0.02127659574468085,0.0425531914893617,0.0,0.46808510638297873,0.3617021276595745
supramarginal-lh,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.0,0.06521739130434782,0.0,0.2826086956521739,0.5434782608695652
