,Fz,CP5,P7,P8,TP10,Fp2,P5,PO7
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP5,0.0,0.3351698806244261,0.0,0.0,0.0,0.0,0.3305785123966942,0.3342516069788797
P7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P5,0.0,0.33210671573137074,0.0,0.0,0.0,0.0,0.3330266789328427,0.33486660533578655
PO7,0.0,0.33242506811989103,0.0,0.0,0.0,0.0,0.33060853769300635,0.3369663941871026
