,entorhinal-lh,fusiform-lh,inferiortemporal-lh,insula-lh,isthmuscingulate-rh,lingual-lh,parahippocampal-lh,parahippocampal-rh
entorhinal-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
fusiform-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
inferiortemporal-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
insula-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isthmuscingulate-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
lingual-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
parahippocampal-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
parahippocampal-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
