,frontalpole-rh,insula-rh,isthmuscingulate-rh,medialorbitofrontal-lh,parahippocampal-lh,parahippocampal-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh
frontalpole-rh,0.6591639871382636,0.04983922829581994,0.0,0.0,0.0,0.0,0.14630225080385853,0.14469453376205788
insula-rh,0.03890489913544669,0.7536023054755043,0.0,0.0,0.0,0.0,0.09798270893371758,0.10951008645533142
isthmuscingulate-rh,0.0,0.0,0.47761194029850745,0.0,0.3044776119402985,0.21791044776119403,0.0,0.0
medialorbitofrontal-lh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
parahippocampal-lh,0.0,0.0,0.2713656387665198,0.0,0.45462555066079297,0.2740088105726872,0.0,0.0
parahippocampal-rh,0.0,0.0,0.22119341563786007,0.0,0.31378600823045266,0.46502057613168724,0.0,0.0
rostralanteriorcingulate-lh,0.178,0.14,0.0,0.0,0.0,0.0,0.416,0.266
rostralanteriorcingulate-rh,0.14864864864864866,0.13175675675675674,0.0,0.0,0.0,0.0,0.22128378378378377,0.4983108108108108
