,Fp1,FT9,TP9,O1,F8,Fp2,AF7,PO3
Fp1,0.6513761467889908,0.0,0.0,0.0,0.0,0.3486238532110092,0.0,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.35454545454545455,0.0,0.0,0.0,0.0,0.5772727272727273,0.06818181818181818,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.11643835616438356,0.8835616438356164,0.0
PO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
