,CP5,P7,P8,TP10,Fp2,P5,PO7,TP8
CP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,0.8148148148148148,0.0,0.18518518518518517,0.0,0.0,0.0
TP10,0.0,0.0,0.0,0.5053763440860215,0.0,0.0,0.0,0.4946236559139785
Fp2,0.0,0.0,0.55,0.0,0.45,0.0,0.0,0.0
P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP8,0.0,0.0,0.0,0.5053763440860215,0.0,0.0,0.0,0.4946236559139785
