,Fp1,F7,P7,Fp2,F5,FT7,P1,AF8
Fp1,0.5760869565217391,0.0,0.0,0.42391304347826086,0.0,0.0,0.0,0.0
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
F5,0.0,0.0,0.0,0.0,0.4878048780487805,0.5121951219512195,0.0,0.0
FT7,0.0,0.0,0.0,0.0,0.35,0.65,0.0,0.0
P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
