,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.06768774703557312,0.033102766798418976,0.0533596837944664,0.0,0.06620553359683795,0.039525691699604744,0.0,0.03359683794466403,0.036561264822134384,0.0,0.02717391304347826,0.0,0.018774703557312252,0.0,0.0,0.0,0.004446640316205534,0.0,0.0,0.0,0.012351778656126482,0.0009881422924901185,0.0,0.0,0.024209486166007904,0.04990118577075099,0.0,0.05632411067193676,0.0291501976284585,0.06620553359683795,0.06422924901185771,0.005928853754940711,0.06571146245059288,0.0,0.03458498023715415,0.03409090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036561264822134384,0.0,0.0,0.0,0.0,0.0533596837944664,0.0,0.03458498023715415,0.0,0.0,0.011857707509881422,0.0009881422924901185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038537549407114624
Fz,0.04589041095890411,0.04452054794520548,0.04589041095890411,0.0,0.04589041095890411,0.045205479452054796,0.0,0.04589041095890411,0.04589041095890411,0.0,0.03767123287671233,0.0,0.026027397260273973,0.0,0.0,0.0,0.0061643835616438354,0.0,0.0,0.0,0.017123287671232876,0.0,0.0,0.0,0.03356164383561644,0.045205479452054796,0.0,0.04589041095890411,0.04041095890410959,0.04589041095890411,0.04589041095890411,0.00821917808219178,0.04589041095890411,0.0,0.04246575342465753,0.04246575342465753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045205479452054796,0.0,0.0,0.0,0.0,0.04589041095890411,0.0,0.045205479452054796,0.0,0.0,0.01643835616438356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045205479452054796
F3,0.057692307692307696,0.03579059829059829,0.05608974358974359,0.0,0.057692307692307696,0.042200854700854704,0.0,0.03632478632478633,0.03952991452991453,0.0,0.02938034188034188,0.0,0.0202991452991453,0.0,0.0,0.0,0.004807692307692308,0.0,0.0,0.0,0.013354700854700854,0.0005341880341880342,0.0,0.0,0.026175213675213676,0.052884615384615384,0.0,0.057692307692307696,0.031517094017094016,0.057692307692307696,0.057692307692307696,0.00641025641025641,0.057692307692307696,0.0,0.03685897435897436,0.03632478632478633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03952991452991453,0.0,0.0,0.0,0.0,0.053952991452991456,0.0,0.03739316239316239,0.0,0.0,0.01282051282051282,0.0005341880341880342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04113247863247863
F7,0.0,0.0,0.0,0.03912148249828414,0.0,0.0,0.04049416609471517,0.0,0.0,0.03980782429649966,0.0,0.0,0.0,0.027453671928620454,0.022649279341111873,0.009608785175017159,0.0,0.02539464653397392,0.03980782429649966,0.01990391214824983,0.0,0.01990391214824983,0.04049416609471517,0.04049416609471517,0.0,0.0,0.04049416609471517,0.0,0.0,0.0,0.0,0.0,0.0,0.04049416609471517,0.0,0.0,0.04049416609471517,0.03774879890185312,0.027453671928620454,0.023335621139327384,0.04049416609471517,0.027453671928620454,0.0,0.0,0.0,0.0,0.0,0.027453671928620454,0.0,0.008922443376801648,0.0,0.02539464653397392,0.04049416609471517,0.0,0.0,0.02608098833218943,0.04049416609471517,0.04049416609471517,0.04049416609471517,0.02608098833218943,0.04049416609471517,0.04049416609471517,0.0
FT9,0.06686478454680535,0.03318474492322932,0.05349182763744428,0.0,0.06587419514611194,0.0396235760277365,0.0,0.033680039623576026,0.03665180782565627,0.0,0.027241208519068846,0.0,0.018821198613174838,0.0,0.0,0.0,0.004457652303120356,0.0,0.0,0.0,0.012382367508667657,0.0009905894006934125,0.0,0.0,0.02426944031698861,0.05002476473501734,0.0,0.05646359583952452,0.02922238732045567,0.06587419514611194,0.06438831104507181,0.005943536404160475,0.06537890044576523,0.0,0.03467062902426944,0.03417533432392273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03665180782565627,0.0,0.0,0.0,0.0,0.05349182763744428,0.0,0.03467062902426944,0.0,0.0,0.01188707280832095,0.0009905894006934125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03863298662704309
FC5,0.04898958971218616,0.04102878138395591,0.04898958971218616,0.0,0.04898958971218616,0.047764849969381504,0.0,0.041641151255358236,0.04470300061236987,0.0,0.03368034292712799,0.0,0.023270055113288425,0.0,0.0,0.0,0.005511328842620943,0.0,0.0,0.0,0.015309246785058175,0.000612369871402327,0.0,0.0,0.030006123698714023,0.04837721984078383,0.0,0.04898958971218616,0.036129822412737295,0.04898958971218616,0.04898958971218616,0.007348438456827924,0.04898958971218616,0.0,0.04225352112676056,0.041641151255358236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0453153704837722,0.0,0.0,0.0,0.0,0.047764849969381504,0.0,0.04286589099816289,0.0,0.0,0.014696876913655848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04715248009797918
FC1,0.0,0.0,0.0,0.03429923122412774,0.0,0.0,0.044352454169130695,0.0,0.0,0.0449438202247191,0.0,0.0,0.0,0.02365464222353637,0.019515079834417505,0.00827912477823773,0.0,0.02247191011235955,0.03666469544648137,0.01714961561206387,0.0,0.017740981667652277,0.04376108811354228,0.04257835600236547,0.0,0.0,0.04553518628030751,0.0,0.0,0.0,0.0,0.0,0.0,0.04553518628030751,0.0,0.0,0.04553518628030751,0.03252513305736251,0.02365464222353637,0.02069781194559432,0.0449438202247191,0.02365464222353637,0.0,0.0,0.0,0.0,0.0,0.02365464222353637,0.0,0.00768775872264932,0.0,0.02188054405677114,0.044352454169130695,0.0,0.0,0.02247191011235955,0.04553518628030751,0.04553518628030751,0.04553518628030751,0.023063276167947958,0.03725606150206978,0.04553518628030751,0.0
C3,0.04667124227865477,0.043239533287577216,0.04598490048043926,0.0,0.04667124227865477,0.045298558682223745,0.0,0.045298558682223745,0.04667124227865477,0.0,0.03774879890185312,0.0,0.02539464653397392,0.0,0.0,0.0,0.0061770761839396015,0.0,0.0,0.0,0.017158544955387784,0.0,0.0,0.0,0.033630748112560054,0.045298558682223745,0.0,0.04667124227865477,0.03980782429649966,0.04667124227865477,0.04667124227865477,0.008236101578586136,0.04667124227865477,0.0,0.04118050789293068,0.04118050789293068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04461221688400824,0.0,0.0,0.0,0.0,0.04667124227865477,0.0,0.04392587508579272,0.0,0.0,0.016472203157172273,0.0006863417982155113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045298558682223745
T7,0.04783748361730013,0.04259501965923984,0.047182175622542594,0.0,0.04783748361730013,0.045871559633027525,0.0,0.043905635648754916,0.047182175622542594,0.0,0.03604193971166448,0.0,0.024246395806028834,0.0,0.0,0.0,0.005897771952817824,0.0,0.0,0.0,0.0163826998689384,0.0,0.0,0.0,0.03211009174311927,0.04652686762778506,0.0,0.04783748361730013,0.03800786369593709,0.04783748361730013,0.04783748361730013,0.007863695937090432,0.04783748361730013,0.0,0.04062909567496723,0.04062909567496723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043905635648754916,0.0,0.0,0.0,0.0,0.04849279161205767,0.0,0.04325032765399738,0.0,0.0,0.015727391874180863,0.001310615989515072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045216251638269984
TP9,0.0,0.0,0.0,0.02858601327207759,0.0,0.0,0.03777437468095967,0.0,0.0,0.06023481368044921,0.0,0.0,0.0,0.019908116385911178,0.016845329249617153,0.0071465033180193975,0.0,0.02041858090862685,0.030627871362940276,0.014803471158754467,0.0,0.016845329249617153,0.036753445635528334,0.03573251659009699,0.0,0.0,0.055640632976008166,0.0,0.0,0.0,0.0,0.0,0.0,0.058703420112302195,0.0,0.0,0.05053598774885146,0.027565084226646247,0.019397651863195507,0.019397651863195507,0.043389484430832057,0.02041858090862685,0.0,0.0,0.0,0.0,0.0,0.019908116385911178,0.0,0.006636038795303726,0.0,0.018887187340479835,0.037263910158244005,0.0,0.0,0.019397651863195507,0.05461970393057682,0.05819295558958652,0.05615109749872384,0.019908116385911178,0.031138335885655948,0.05717202654415518,0.0
CP5,0.04435483870967742,0.043548387096774194,0.04435483870967742,0.0,0.04435483870967742,0.043548387096774194,0.0,0.04435483870967742,0.04435483870967742,0.0,0.042741935483870966,0.0,0.028225806451612902,0.0,0.0,0.0,0.007258064516129033,0.0,0.0,0.0,0.020161290322580645,0.0,0.0,0.0,0.03951612903225806,0.043548387096774194,0.0,0.04435483870967742,0.042741935483870966,0.04435483870967742,0.04435483870967742,0.00967741935483871,0.04435483870967742,0.0,0.042741935483870966,0.042741935483870966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043548387096774194,0.0,0.0,0.0,0.0,0.04435483870967742,0.0,0.043548387096774194,0.0,0.0,0.01935483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043548387096774194
CP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pz,0.042175360710321866,0.042175360710321866,0.042175360710321866,0.0,0.042175360710321866,0.042175360710321866,0.0,0.042175360710321866,0.042175360710321866,0.0,0.041065482796892344,0.0,0.041065482796892344,0.0,0.0,0.0,0.009988901220865706,0.0,0.0,0.0,0.02774694783573807,0.0,0.0,0.0,0.038845726970033294,0.042175360710321866,0.0,0.042175360710321866,0.042175360710321866,0.042175360710321866,0.042175360710321866,0.013318534961154272,0.042175360710321866,0.0,0.042175360710321866,0.042175360710321866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042175360710321866,0.0,0.0,0.0,0.0,0.042175360710321866,0.0,0.042175360710321866,0.0,0.0,0.026637069922308545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042175360710321866
P3,0.0,0.0,0.0,0.0354295837023915,0.0,0.0,0.0354295837023915,0.0,0.0,0.0354295837023915,0.0,0.0,0.0,0.03454384410983171,0.029229406554472984,0.012400354295837024,0.0,0.03100088573959256,0.0354295837023915,0.025686448184233834,0.0,0.023914968999114262,0.0354295837023915,0.0354295837023915,0.0,0.0,0.0354295837023915,0.0,0.0,0.0,0.0,0.0,0.0,0.0354295837023915,0.0,0.0,0.0354295837023915,0.0354295837023915,0.03365810451727192,0.0283436669619132,0.0354295837023915,0.0354295837023915,0.0,0.0,0.0,0.0,0.0,0.03454384410983171,0.0,0.011514614703277236,0.0,0.03188662533215235,0.0354295837023915,0.0,0.0,0.03365810451727192,0.0354295837023915,0.0354295837023915,0.0354295837023915,0.03188662533215235,0.0354295837023915,0.0354295837023915,0.0
P7,0.0,0.0,0.0,0.03455497382198953,0.0,0.0,0.03455497382198953,0.0,0.0,0.03455497382198953,0.0,0.0,0.0,0.03455497382198953,0.033507853403141365,0.014659685863874346,0.0,0.031413612565445025,0.03455497382198953,0.030366492146596858,0.0,0.023036649214659685,0.03455497382198953,0.03455497382198953,0.0,0.0,0.03455497382198953,0.0,0.0,0.0,0.0,0.0,0.0,0.03455497382198953,0.0,0.0,0.03455497382198953,0.03455497382198953,0.03455497382198953,0.028272251308900525,0.03455497382198953,0.03455497382198953,0.0,0.0,0.0,0.0,0.0,0.03455497382198953,0.0,0.013612565445026177,0.0,0.032460732984293195,0.03455497382198953,0.0,0.0,0.03455497382198953,0.03455497382198953,0.03455497382198953,0.03455497382198953,0.032460732984293195,0.03455497382198953,0.03455497382198953,0.0
O1,0.0,0.0,0.0,0.033816425120772944,0.0,0.0,0.033816425120772944,0.0,0.0,0.033816425120772944,0.0,0.0,0.0,0.033816425120772944,0.033816425120772944,0.03140096618357488,0.0,0.03140096618357488,0.033816425120772944,0.033816425120772944,0.0,0.012077294685990338,0.033816425120772944,0.033816425120772944,0.0,0.0,0.033816425120772944,0.0,0.0,0.0,0.0,0.0,0.0,0.033816425120772944,0.0,0.0,0.033816425120772944,0.033816425120772944,0.033816425120772944,0.024154589371980676,0.033816425120772944,0.033816425120772944,0.0,0.0,0.0,0.0,0.0,0.033816425120772944,0.0,0.021739130434782608,0.0,0.033816425120772944,0.033816425120772944,0.0,0.0,0.033816425120772944,0.033816425120772944,0.033816425120772944,0.033816425120772944,0.033816425120772944,0.033816425120772944,0.033816425120772944,0.0
Oz,0.03879310344827586,0.03879310344827586,0.03879310344827586,0.0,0.03879310344827586,0.03879310344827586,0.0,0.03879310344827586,0.03879310344827586,0.0,0.03879310344827586,0.0,0.03879310344827586,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.03879310344827586,0.0,0.0,0.0,0.03879310344827586,0.03879310344827586,0.0,0.03879310344827586,0.03879310344827586,0.03879310344827586,0.03879310344827586,0.034482758620689655,0.03879310344827586,0.0,0.03879310344827586,0.03879310344827586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03879310344827586,0.0,0.0,0.0,0.0,0.03879310344827586,0.0,0.03879310344827586,0.0,0.0,0.03879310344827586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03879310344827586
