,CP5,FC6,AFz,F5,FT7,PO8,F6,AF4
CP5,0.6402439024390244,0.0,0.0,0.0,0.0,0.0,0.0,0.3597560975609756
FC6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFz,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
F5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF4,0.5042735042735043,0.0,0.0,0.0,0.0,0.0,0.0,0.49572649572649574
