,F7,FT9,TP9,TP10,FT10,F8,Fp2,AF7
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.23399014778325122,0.23645320197044334,0.1921182266009852,0.18719211822660098,0.0,0.0,0.15024630541871922
TP9,0.0,0.20568927789934355,0.33260393873085337,0.16630196936542668,0.16192560175054704,0.0,0.0,0.13347921225382933
TP10,0.0,0.21024258760107817,0.21024258760107817,0.21024258760107817,0.20485175202156333,0.0,0.0,0.16442048517520216
FT10,0.0,0.2087912087912088,0.2087912087912088,0.2087912087912088,0.20604395604395603,0.0,0.0,0.16758241758241757
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AF7,0.0,0.20065789473684212,0.20065789473684212,0.20065789473684212,0.20065789473684212,0.0,0.0,0.19736842105263158
