,caudalmiddlefrontal-rh,parsopercularis-lh,parstriangularis-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiortemporal-lh,supramarginal-lh
caudalmiddlefrontal-rh,0.5357142857142857,0.0,0.0,0.23809523809523808,0.08333333333333333,0.11904761904761904,0.0,0.023809523809523808
parsopercularis-lh,0.0,0.7419354838709677,0.0,0.0,0.12903225806451613,0.0,0.0,0.12903225806451613
parstriangularis-rh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
rostralmiddlefrontal-lh,0.1267605633802817,0.0,0.0,0.3591549295774648,0.04929577464788732,0.24647887323943662,0.21830985915492956,0.0
rostralmiddlefrontal-rh,0.1590909090909091,0.06818181818181818,0.0,0.1590909090909091,0.36363636363636365,0.0,0.0,0.25
superiorfrontal-lh,0.088,0.0,0.0,0.296,0.0,0.352,0.264,0.0
superiortemporal-lh,0.0,0.0,0.0,0.31683168316831684,0.0,0.3465346534653465,0.33663366336633666,0.0
supramarginal-lh,0.11764705882352941,0.08823529411764706,0.0,0.0,0.29411764705882354,0.0,0.0,0.5
