,Fp1,F3,TP10,T8,AF3,AFz,C5,FC4
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T8,0.0,0.0,0.0,0.2,0.4,0.0,0.4,0.0
AF3,0.0,0.0,0.0,0.2,0.4,0.0,0.4,0.0
AFz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C5,0.0,0.0,0.0,0.2,0.4,0.0,0.4,0.0
FC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
