,insula-rh,isthmuscingulate-rh,lateralorbitofrontal-lh,medialorbitofrontal-lh,parahippocampal-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh
insula-rh,0.125,0.1875,0.125,0.125,0.125,0.125,0.125,0.0625
isthmuscingulate-rh,0.125,0.1875,0.125,0.125,0.125,0.125,0.125,0.0625
lateralorbitofrontal-lh,0.125,0.1875,0.125,0.125,0.125,0.125,0.125,0.0625
medialorbitofrontal-lh,0.125,0.1875,0.125,0.125,0.125,0.125,0.125,0.0625
parahippocampal-rh,0.125,0.1875,0.125,0.125,0.125,0.125,0.125,0.0625
rostralanteriorcingulate-lh,0.125,0.1875,0.125,0.125,0.125,0.125,0.125,0.0625
rostralanteriorcingulate-rh,0.125,0.1875,0.125,0.125,0.125,0.125,0.125,0.0625
rostralmiddlefrontal-lh,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667
