,insula-rh,isthmuscingulate-rh,lateralorbitofrontal-lh,medialorbitofrontal-lh,parahippocampal-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh
insula-rh,0.125,0.14285714285714285,0.125,0.125,0.125,0.125,0.125,0.10714285714285714
isthmuscingulate-rh,0.125,0.14285714285714285,0.125,0.125,0.125,0.125,0.125,0.10714285714285714
lateralorbitofrontal-lh,0.125,0.14285714285714285,0.125,0.125,0.125,0.125,0.125,0.10714285714285714
medialorbitofrontal-lh,0.125,0.14285714285714285,0.125,0.125,0.125,0.125,0.125,0.10714285714285714
parahippocampal-rh,0.125,0.14285714285714285,0.125,0.125,0.125,0.125,0.125,0.10714285714285714
rostralanteriorcingulate-lh,0.125,0.14285714285714285,0.125,0.125,0.125,0.125,0.125,0.10714285714285714
rostralanteriorcingulate-rh,0.125,0.14285714285714285,0.125,0.125,0.125,0.125,0.125,0.10714285714285714
rostralmiddlefrontal-lh,0.12727272727272726,0.12727272727272726,0.12727272727272726,0.12727272727272726,0.12727272727272726,0.12727272727272726,0.12727272727272726,0.10909090909090909
