,Fp1,Fz,F8,Fp2,AF7,AF3,AFz,AF4
Fp1,0.5641025641025641,0.0,0.0,0.26495726495726496,0.17094017094017094,0.0,0.0,0.0
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.3803680981595092,0.0,0.0,0.37423312883435583,0.24539877300613497,0.0,0.0,0.0
AF7,0.33613445378151263,0.0,0.0,0.33613445378151263,0.3277310924369748,0.0,0.0,0.0
AF3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AFz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
