,entorhinal-rh,insula-rh,lateralorbitofrontal-lh,medialorbitofrontal-lh,medialorbitofrontal-rh,parahippocampal-rh,temporalpole-rh,transversetemporal-rh
entorhinal-rh,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454
insula-rh,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.36363636363636365
lateralorbitofrontal-lh,0.0,0.0,0.4909090909090909,0.509090909090909,0.0,0.0,0.0,0.0
medialorbitofrontal-lh,0.0,0.0,0.45901639344262296,0.5409836065573771,0.0,0.0,0.0,0.0
medialorbitofrontal-rh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
parahippocampal-rh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
temporalpole-rh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
transversetemporal-rh,0.08,0.18666666666666668,0.0,0.0,0.0,0.0,0.0,0.7333333333333333
