,Fz,FC5,P3,Cz,P5,PO3,POz,F6
Fz,0.2222222222222222,0.25925925925925924,0.0,0.0,0.25925925925925924,0.25925925925925924,0.0,0.0
FC5,0.06930693069306931,0.3069306930693069,0.0,0.0,0.297029702970297,0.32673267326732675,0.0,0.0
P3,0.0,0.0,0.38144329896907214,0.20618556701030927,0.0,0.0,0.38144329896907214,0.030927835051546393
Cz,0.0,0.0,0.31666666666666665,0.3,0.0,0.016666666666666666,0.31666666666666665,0.05
P5,0.07,0.31,0.0,0.0,0.3,0.32,0.0,0.0
PO3,0.06306306306306306,0.3063063063063063,0.0,0.0,0.2972972972972973,0.3333333333333333,0.0,0.0
POz,0.0,0.0,0.38144329896907214,0.20618556701030927,0.0,0.0,0.38144329896907214,0.030927835051546393
F6,0.0,0.0,0.26666666666666666,0.26666666666666666,0.0,0.0,0.26666666666666666,0.2
