,caudalmiddlefrontal-lh,parsopercularis-lh,parstriangularis-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorparietal-lh,superiortemporal-lh
caudalmiddlefrontal-lh,0.1686746987951807,0.14457831325301204,0.10843373493975904,0.12048192771084337,0.13253012048192772,0.04819277108433735,0.1566265060240964,0.12048192771084337
parsopercularis-lh,0.16666666666666666,0.15476190476190477,0.11904761904761904,0.13095238095238096,0.14285714285714285,0.023809523809523808,0.16666666666666666,0.09523809523809523
parstriangularis-rh,0.14666666666666667,0.14666666666666667,0.2,0.14666666666666667,0.14666666666666667,0.0,0.14666666666666667,0.06666666666666667
rostralmiddlefrontal-lh,0.15,0.15,0.125,0.2,0.15,0.0,0.15,0.075
rostralmiddlefrontal-rh,0.1625,0.1625,0.125,0.1375,0.15,0.0125,0.1625,0.0875
superiorfrontal-lh,0.05,0.0,0.0,0.0,0.0,0.675,0.15,0.125
superiorparietal-lh,0.1414141414141414,0.12121212121212122,0.09090909090909091,0.10101010101010101,0.1111111111111111,0.09090909090909091,0.25252525252525254,0.09090909090909091
superiortemporal-lh,0.125,0.09375,0.046875,0.0625,0.078125,0.109375,0.109375,0.375
