,caudalmiddlefrontal-lh,parsopercularis-lh,parstriangularis-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorparietal-lh,superiortemporal-lh
caudalmiddlefrontal-lh,0.1686746987951807,0.14457831325301204,0.10843373493975904,0.12048192771084337,0.13253012048192772,0.04819277108433735,0.1566265060240964,0.12048192771084337
parsopercularis-lh,0.16666666666666666,0.15476190476190477,0.11904761904761904,0.13095238095238096,0.14285714285714285,0.023809523809523808,0.16666666666666666,0.09523809523809523
parstriangularis-rh,0.14666666666666667,0.14666666666666667,0.2,0.14666666666666667,0.14666666666666667,0.0,0.14666666666666667,0.06666666666666667
rostralmiddlefrontal-lh,0.16,0.16,0.13333333333333333,0.14666666666666667,0.16,0.0,0.16,0.08
rostralmiddlefrontal-rh,0.1625,0.1625,0.125,0.1375,0.15,0.0125,0.1625,0.0875
superiorfrontal-lh,0.125,0.0,0.0,0.0,0.0,0.5,0.0625,0.3125
superiorparietal-lh,0.1728395061728395,0.14814814814814814,0.1111111111111111,0.12345679012345678,0.13580246913580246,0.037037037037037035,0.16049382716049382,0.1111111111111111
superiortemporal-lh,0.1568627450980392,0.11764705882352941,0.058823529411764705,0.0784313725490196,0.09803921568627451,0.13725490196078433,0.13725490196078433,0.21568627450980393
