,caudalmiddlefrontal-lh,parstriangularis-rh,precentral-lh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorparietal-rh,superiortemporal-lh
caudalmiddlefrontal-lh,0.24242424242424243,0.06060606060606061,0.19696969696969696,0.09090909090909091,0.18181818181818182,0.045454545454545456,0.09090909090909091,0.09090909090909091
parstriangularis-rh,0.12,0.22,0.14,0.1,0.14,0.0,0.14,0.14
precentral-lh,0.2028985507246377,0.08695652173913043,0.2028985507246377,0.057971014492753624,0.17391304347826086,0.043478260869565216,0.11594202898550725,0.11594202898550725
rostralmiddlefrontal-lh,0.175,0.075,0.15,0.5,0.1,0.0,0.0,0.0
rostralmiddlefrontal-rh,0.21428571428571427,0.08928571428571429,0.17857142857142858,0.05357142857142857,0.21428571428571427,0.0,0.125,0.125
superiorfrontal-lh,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0.8947368421052632,0.0,0.0
superiorparietal-rh,0.17391304347826086,0.13043478260869565,0.15217391304347827,0.0,0.1956521739130435,0.0,0.17391304347826086,0.17391304347826086
superiortemporal-lh,0.1951219512195122,0.12195121951219512,0.14634146341463414,0.0,0.1951219512195122,0.0,0.17073170731707318,0.17073170731707318
