,frontalpole-rh,insula-rh,lateralorbitofrontal-rh,medialorbitofrontal-rh,paracentral-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-rh
frontalpole-rh,0.1608695652173913,0.09481605351170569,0.13076923076923078,0.13244147157190636,0.03361204013377926,0.14331103678929766,0.14866220735785954,0.15551839464882944
insula-rh,0.10974658869395712,0.23391812865497075,0.13996101364522417,0.07992202729044834,0.050292397660818715,0.11442495126705653,0.13898635477582846,0.1327485380116959
lateralorbitofrontal-rh,0.13430504945340968,0.12493492972410203,0.16762103071317022,0.10550060732257505,0.02377234079472497,0.13204927988894674,0.15634218289085547,0.15547457921221586
medialorbitofrontal-rh,0.1562867215041128,0.08147277712495103,0.12025068546807677,0.17215041128084607,0.028985507246376812,0.15139052095573835,0.1408147277712495,0.14864864864864866
paracentral-rh,0.08653440270156185,0.11101730688054032,0.0595187842971718,0.06331785563528915,0.42296327564373154,0.07133811734909244,0.08780075981426762,0.0975094976783453
rostralanteriorcingulate-lh,0.14516129032258066,0.10067911714770798,0.1302207130730051,0.13089983022071308,0.02801358234295416,0.1626485568760611,0.14804753820033956,0.15432937181663836
rostralanteriorcingulate-rh,0.13862317704249646,0.11274894150854634,0.14222988866238043,0.1118080602164027,0.0319899639328838,0.13580053316606555,0.16590873451466207,0.16089070095656266
rostralmiddlefrontal-rh,0.141804788213628,0.10543278084714548,0.1387354205033763,0.11556169429097606,0.03483732351135666,0.1388888888888889,0.15807243707796195,0.16666666666666666
