,Fp1,Fz,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.06531531531531531,0.0,0.0,0.0,0.0,0.0,0.06644144144144144,0.0,0.0,0.05630630630630631,0.0,0.060810810810810814,0.0,0.0,0.0,0.05405405405405406,0.06644144144144144,0.0,0.0,0.0,0.0,0.0,0.06644144144144144,0.0,0.06306306306306306,0.0,0.033783783783783786,0.06644144144144144,0.0,0.0,0.0,0.0,0.0,0.0,0.06644144144144144,0.05855855855855856,0.0,0.0,0.0,0.0,0.0,0.0,0.05067567567567568,0.06644144144144144,0.0,0.06644144144144144,0.0,0.0,0.0,0.0,0.0,0.038288288288288286,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.0,0.0,0.057692307692307696,0.04807692307692308,0.0673076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0673076923076923,0.0,0.0673076923076923,0.0673076923076923,0.0673076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0673076923076923,0.0,0.0673076923076923,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0673076923076923,0.0,0.0,0.0,0.0,0.0673076923076923,0.0,0.0673076923076923,0.0,0.0,0.0673076923076923,0.057692307692307696,0.0,0.057692307692307696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.0,0.06451612903225806,0.053763440860215055,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.06451612903225806,0.0,0.0,0.043010752688172046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.06451612903225806,0.0,0.0,0.06451612903225806,0.06451612903225806,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC5,0.0,0.0,0.011834319526627219,0.009861932938856016,0.09861932938856016,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.0,0.01972386587771203,0.05719921104536489,0.08875739644970414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01775147928994083,0.0,0.09270216962524655,0.0,0.0,0.007889546351084813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09467455621301775,0.0,0.0,0.0,0.0,0.10256410256410256,0.0,0.09664694280078895,0.0,0.0,0.10059171597633136,0.011834319526627219,0.0,0.08678500986193294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.0,0.062023939064200215,0.0,0.0,0.0,0.0,0.0,0.06964091403699674,0.0,0.0,0.0544069640914037,0.0,0.06528835690968444,0.0,0.0,0.0,0.05223068552774755,0.06964091403699674,0.0,0.0,0.0,0.0,0.0,0.07072905331882481,0.0,0.062023939064200215,0.0,0.03264417845484222,0.06420021762785637,0.0,0.0,0.0,0.0,0.0,0.0,0.06311207834602829,0.056583242655059846,0.0,0.0,0.0,0.0,0.0,0.0,0.04896626768226333,0.06855277475516866,0.0,0.07072905331882481,0.0,0.0,0.0,0.0,0.0,0.036996735582154515,0.0,0.05223068552774755,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP1,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.06125,0.0,0.0625,0.0,0.0,0.0,0.055,0.0625,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0375,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.05625,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0425,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
Pz,0.0,0.0,0.009900990099009901,0.00825082508250825,0.08415841584158416,0.0,0.0,0.0,0.0,0.0,0.0,0.11551155115511551,0.0,0.0165016501650165,0.0594059405940594,0.0858085808580858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01485148514851485,0.0,0.07755775577557755,0.0,0.0,0.006600660066006601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10066006600660066,0.0,0.0,0.0,0.0,0.11551155115511551,0.0,0.10231023102310231,0.0,0.0,0.11551155115511551,0.009900990099009901,0.0,0.07755775577557755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3,0.0,0.059770114942528735,0.0,0.0,0.0,0.0,0.0,0.067816091954023,0.0,0.0,0.05632183908045977,0.0,0.067816091954023,0.0,0.0,0.0,0.05057471264367816,0.067816091954023,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.06206896551724138,0.0,0.034482758620689655,0.06206896551724138,0.0,0.0,0.0,0.0,0.0,0.0,0.06091954022988506,0.059770114942528735,0.0,0.0,0.0,0.0,0.0,0.0,0.05172413793103448,0.06666666666666667,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.03908045977011494,0.0,0.05517241379310345,0.0,0.0,0.0,0.0,0.0,0.0
P7,0.0,0.0,0.044444444444444446,0.037037037037037035,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.08148148148148149,0.0,0.07407407407407407,0.05925925925925926,0.05185185185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.07407407407407407,0.0,0.0,0.02962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08148148148148149,0.0,0.0,0.0,0.0,0.08148148148148149,0.0,0.08148148148148149,0.0,0.0,0.07407407407407407,0.044444444444444446,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.0,0.015873015873015872,0.013227513227513227,0.08465608465608465,0.0,0.0,0.0,0.0,0.0,0.0,0.10317460317460317,0.0,0.023809523809523808,0.10052910052910052,0.10052910052910052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.07936507936507936,0.0,0.0,0.010582010582010581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.07407407407407407,0.0,0.0,0.10582010582010581,0.015873015873015872,0.0,0.082010582010582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oz,0.0,0.0,0.011152416356877323,0.00929368029739777,0.08921933085501858,0.0,0.0,0.0,0.0,0.0,0.0,0.10223048327137546,0.0,0.01486988847583643,0.0724907063197026,0.12639405204460966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01486988847583643,0.0,0.08364312267657993,0.0,0.0,0.007434944237918215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07992565055762081,0.0,0.0,0.0,0.0,0.09665427509293681,0.0,0.08178438661710037,0.0,0.0,0.11152416356877323,0.011152416356877323,0.0,0.08736059479553904,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O2,0.0,0.06266318537859007,0.0,0.0,0.0,0.0,0.0,0.06266318537859007,0.0,0.0,0.06005221932114883,0.0,0.06005221932114883,0.0,0.0,0.0,0.06135770234986945,0.06266318537859007,0.0,0.0,0.0,0.0,0.0,0.06266318537859007,0.0,0.06266318537859007,0.0,0.0391644908616188,0.06266318537859007,0.0,0.0,0.0,0.0,0.0,0.0,0.06266318537859007,0.0587467362924282,0.0,0.0,0.0,0.0,0.0,0.0,0.05483028720626632,0.06266318537859007,0.0,0.06266318537859007,0.0,0.0,0.0,0.0,0.0,0.044386422976501305,0.0,0.057441253263707574,0.0,0.0,0.0,0.0,0.0,0.0
P4,0.0,0.061780104712041886,0.0,0.0,0.0,0.0,0.0,0.06806282722513089,0.0,0.0,0.05235602094240838,0.0,0.06282722513089005,0.0,0.0,0.0,0.050261780104712044,0.0743455497382199,0.0,0.0,0.0,0.0,0.0,0.07539267015706806,0.0,0.05968586387434555,0.0,0.031413612565445025,0.06282722513089005,0.0,0.0,0.0,0.0,0.0,0.0,0.06492146596858639,0.05445026178010471,0.0,0.0,0.0,0.0,0.0,0.0,0.04712041884816754,0.07329842931937172,0.0,0.07539267015706806,0.0,0.0,0.0,0.0,0.0,0.0356020942408377,0.0,0.050261780104712044,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
