,bankssts-lh,inferiortemporal-lh,lateraloccipital-lh,lingual-lh,middletemporal-lh,parahippocampal-lh,superiortemporal-lh,transversetemporal-lh
bankssts-lh,0.36363636363636365,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,0.36363636363636365,0.0
inferiortemporal-lh,0.36363636363636365,0.2727272727272727,0.0,0.0,0.0,0.0,0.36363636363636365,0.0
lateraloccipital-lh,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
lingual-lh,0.0,0.0,0.17391304347826086,0.5652173913043478,0.08695652173913043,0.0,0.0,0.17391304347826086
middletemporal-lh,0.13333333333333333,0.0,0.0,0.26666666666666666,0.4666666666666667,0.0,0.13333333333333333,0.0
parahippocampal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superiortemporal-lh,0.36,0.12,0.0,0.0,0.16,0.0,0.36,0.0
transversetemporal-lh,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
