,F7,FT9,T7,TP9,P4,TP10,AF7,TP7
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP10,0.0,0.0,0.0,0.0,0.0,0.8323863636363636,0.16761363636363635,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.425531914893617,0.574468085106383,0.0
TP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
