,entorhinal-lh,fusiform-lh,inferiortemporal-lh,insula-lh,isthmuscingulate-rh,lingual-lh,parahippocampal-lh,rostralanteriorcingulate-lh
entorhinal-lh,0.12512716174974567,0.125,0.125,0.125,0.125,0.125,0.125,0.12487283825025432
fusiform-lh,0.12512716174974567,0.125,0.125,0.125,0.125,0.125,0.125,0.12487283825025432
inferiortemporal-lh,0.12512716174974567,0.125,0.125,0.125,0.125,0.125,0.125,0.12487283825025432
insula-lh,0.1251270325203252,0.125,0.125,0.125,0.125,0.125,0.125,0.1248729674796748
isthmuscingulate-rh,0.1251270325203252,0.125,0.125,0.125,0.125,0.125,0.125,0.1248729674796748
lingual-lh,0.1251270325203252,0.125,0.125,0.125,0.125,0.125,0.125,0.1248729674796748
parahippocampal-lh,0.1251270325203252,0.125,0.125,0.125,0.125,0.125,0.125,0.1248729674796748
rostralanteriorcingulate-lh,0.1251267748478702,0.125,0.125,0.125,0.125,0.125,0.125,0.12487322515212981
