,Fp1,Fz,P7,T8,F4,FC4,FT8,F2
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P7,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0
T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.0,0.0,0.5294117647058824,0.0,0.47058823529411764,0.0,0.0,0.0
FC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT8,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
F2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
