,Fp1,P7,C4,FC6,FC2,AF7,F5,FC4
Fp1,0.6981132075471698,0.0,0.0,0.0,0.0,0.3018867924528302,0.0,0.0
P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.5161290322580645,0.0,0.0,0.0,0.0,0.4838709677419355,0.0,0.0
F5,0.0,0.0,0.0,0.0,0.0,0.0,0.5324675324675324,0.4675324675324675
FC4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
