,parsopercularis-lh,parstriangularis-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh
parsopercularis-lh,0.34177215189873417,0.189873417721519,0.08860759493670886,0.05063291139240506,0.13924050632911392,0.02531645569620253,0.10126582278481013,0.06329113924050633
parstriangularis-rh,0.3148148148148148,0.3888888888888889,0.12962962962962962,0.0,0.16666666666666666,0.0,0.0,0.0
rostralmiddlefrontal-lh,0.18,0.14,0.32,0.04,0.12,0.1,0.04,0.06
rostralmiddlefrontal-rh,0.08,0.0,0.0,0.38,0.0,0.12,0.1,0.32
superiorparietal-lh,0.2222222222222222,0.1111111111111111,0.08888888888888889,0.0,0.35555555555555557,0.06666666666666667,0.15555555555555556,0.0
superiorparietal-rh,0.06818181818181818,0.0,0.06818181818181818,0.18181818181818182,0.06818181818181818,0.29545454545454547,0.13636363636363635,0.18181818181818182
superiortemporal-lh,0.15625,0.0,0.03125,0.125,0.109375,0.125,0.28125,0.171875
superiortemporal-rh,0.10344827586206896,0.0,0.06896551724137931,0.25862068965517243,0.0,0.1206896551724138,0.1206896551724138,0.3275862068965517
