,CP1,O1,O2,Cz,F4,F8,Fp2,AF7
CP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.49504950495049505,0.0,0.0,0.0,0.504950495049505,0.0,0.0
O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.3125,0.0,0.0,0.0,0.6875,0.0,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
