,parsopercularis-lh,postcentral-rh,rostralmiddlefrontal-lh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh
parsopercularis-lh,0.14705882352941177,0.11764705882352941,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.17647058823529413,0.17647058823529413,0.11764705882352941
postcentral-rh,0.15625,0.125,0.09375,0.09375,0.09375,0.15625,0.15625,0.125
rostralmiddlefrontal-lh,0.10810810810810811,0.10810810810810811,0.13513513513513514,0.16216216216216217,0.16216216216216217,0.10810810810810811,0.10810810810810811,0.10810810810810811
superiorparietal-lh,0.1,0.1,0.14,0.18,0.18,0.1,0.1,0.1
superiorparietal-rh,0.10638297872340426,0.10638297872340426,0.1276595744680851,0.1702127659574468,0.1702127659574468,0.10638297872340426,0.10638297872340426,0.10638297872340426
superiortemporal-lh,0.14705882352941177,0.11764705882352941,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.17647058823529413,0.17647058823529413,0.11764705882352941
superiortemporal-rh,0.14285714285714285,0.11904761904761904,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.16666666666666666,0.16666666666666666,0.11904761904761904
supramarginal-lh,0.15,0.125,0.1,0.1,0.1,0.15,0.15,0.125
