,Fz,F3,P7,FC2,AFz,F5,FC4,FCz
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.4264705882352941,0.4411764705882353,0.1323529411764706,0.0,0.0,0.0,0.0
P7,0.0,0.4027777777777778,0.4722222222222222,0.125,0.0,0.0,0.0,0.0
FC2,0.0,0.3448275862068966,0.3448275862068966,0.3103448275862069,0.0,0.0,0.0,0.0
AFz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
