,bankssts-rh,caudalanteriorcingulate-lh,frontalpole-rh,lateraloccipital-rh,medialorbitofrontal-rh,parsorbitalis-rh,supramarginal-lh,temporalpole-rh
bankssts-rh,0.48,0.0,0.0,0.52,0.0,0.0,0.0,0.0
caudalanteriorcingulate-lh,0.0,0.30303030303030304,0.15151515151515152,0.0,0.15151515151515152,0.06060606060606061,0.18181818181818182,0.15151515151515152
frontalpole-rh,0.0,0.13513513513513514,0.2702702702702703,0.0,0.2702702702702703,0.05405405405405406,0.0,0.2702702702702703
lateraloccipital-rh,0.4583333333333333,0.0,0.0,0.5416666666666666,0.0,0.0,0.0,0.0
medialorbitofrontal-rh,0.0,0.125,0.275,0.0,0.275,0.05,0.0,0.275
parsorbitalis-rh,0.0,0.09375,0.09375,0.0,0.09375,0.46875,0.15625,0.09375
supramarginal-lh,0.0,0.16666666666666666,0.0,0.0,0.0,0.2916666666666667,0.5416666666666666,0.0
temporalpole-rh,0.0,0.13513513513513514,0.2702702702702703,0.0,0.2702702702702703,0.05405405405405406,0.0,0.2702702702702703
