,fusiform-lh,isthmuscingulate-rh,lingual-lh,medialorbitofrontal-lh,parahippocampal-lh,parsorbitalis-rh,parstriangularis-lh,rostralanteriorcingulate-lh
fusiform-lh,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0
isthmuscingulate-rh,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0
lingual-lh,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0
medialorbitofrontal-lh,0.0,0.0,0.0,0.3793103448275862,0.0,0.16379310344827586,0.20689655172413793,0.25
parahippocampal-lh,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0
parsorbitalis-rh,0.0,0.0,0.0,0.20270270270270271,0.0,0.7297297297297297,0.02702702702702703,0.04054054054054054
parstriangularis-lh,0.0,0.0,0.0,0.25,0.0,0.03571428571428571,0.3482142857142857,0.36607142857142855
rostralanteriorcingulate-lh,0.0,0.0,0.0,0.264,0.0,0.04,0.32,0.376
