,bankssts-rh,frontalpole-lh,inferiorparietal-lh,insula-lh,isthmuscingulate-rh,parstriangularis-rh,pericalcarine-lh,rostralanteriorcingulate-lh
bankssts-rh,0.5454545454545454,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,0.0
frontalpole-lh,0.0,0.25517241379310346,0.0,0.0,0.2482758620689655,0.0,0.2620689655172414,0.23448275862068965
inferiorparietal-lh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
insula-lh,0.5454545454545454,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.25,0.0,0.0,0.2565789473684211,0.0,0.25,0.24342105263157895
parstriangularis-rh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
pericalcarine-lh,0.0,0.25517241379310346,0.0,0.0,0.2482758620689655,0.0,0.2620689655172414,0.23448275862068965
rostralanteriorcingulate-lh,0.0,0.23684210526315788,0.0,0.0,0.2565789473684211,0.0,0.23684210526315788,0.26973684210526316
