,bankssts-rh,frontalpole-rh,insula-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,parsorbitalis-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh
bankssts-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
frontalpole-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
insula-rh,0.044444444444444446,0.05555555555555555,0.16666666666666666,0.12222222222222222,0.16666666666666666,0.16666666666666666,0.14444444444444443,0.13333333333333333
lateralorbitofrontal-lh,0.057971014492753624,0.07246376811594203,0.14492753623188406,0.14492753623188406,0.14492753623188406,0.14492753623188406,0.14492753623188406,0.14492753623188406
lateralorbitofrontal-rh,0.043010752688172046,0.053763440860215055,0.17204301075268819,0.11827956989247312,0.17204301075268819,0.17204301075268819,0.13978494623655913,0.12903225806451613
parsorbitalis-rh,0.041666666666666664,0.052083333333333336,0.16666666666666666,0.11458333333333333,0.17708333333333334,0.1875,0.13541666666666666,0.125
rostralanteriorcingulate-lh,0.05,0.0625,0.15,0.1375,0.15,0.15,0.15,0.15
rostralanteriorcingulate-rh,0.05333333333333334,0.06666666666666667,0.14666666666666667,0.14666666666666667,0.14666666666666667,0.14666666666666667,0.14666666666666667,0.14666666666666667
