,caudalanteriorcingulate-lh,frontalpole-lh,frontalpole-rh,lateraloccipital-rh,lateralorbitofrontal-lh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,temporalpole-lh
caudalanteriorcingulate-lh,0.18461538461538463,0.09230769230769231,0.16923076923076924,0.0,0.18461538461538463,0.18461538461538463,0.18461538461538463,0.0
frontalpole-lh,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0
frontalpole-rh,0.18,0.08,0.2,0.0,0.18,0.18,0.18,0.0
lateraloccipital-rh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
lateralorbitofrontal-lh,0.18333333333333332,0.1,0.16666666666666666,0.0,0.18333333333333332,0.18333333333333332,0.18333333333333332,0.0
rostralanteriorcingulate-lh,0.18333333333333332,0.1,0.16666666666666666,0.0,0.18333333333333332,0.18333333333333332,0.18333333333333332,0.0
rostralanteriorcingulate-rh,0.18333333333333332,0.1,0.16666666666666666,0.0,0.18333333333333332,0.18333333333333332,0.18333333333333332,0.0
temporalpole-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
