,caudalmiddlefrontal-rh,cuneus-rh,frontalpole-lh,lateralorbitofrontal-rh,medialorbitofrontal-rh,parsorbitalis-rh,posteriorcingulate-lh,temporalpole-rh
caudalmiddlefrontal-rh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuneus-rh,0.0,0.5555555555555556,0.4444444444444444,0.0,0.0,0.0,0.0,0.0
frontalpole-lh,0.0,0.25925925925925924,0.48148148148148145,0.0,0.18518518518518517,0.07407407407407407,0.0,0.0
lateralorbitofrontal-rh,0.0,0.0,0.0,0.45,0.0,0.0,0.25,0.3
medialorbitofrontal-rh,0.0,0.0,0.21052631578947367,0.0,0.6842105263157895,0.10526315789473684,0.0,0.0
parsorbitalis-rh,0.0,0.0,0.15,0.0,0.15,0.7,0.0,0.0
posteriorcingulate-lh,0.0,0.0,0.0,0.21875,0.0,0.0,0.375,0.40625
temporalpole-rh,0.0,0.0,0.0,0.24242424242424243,0.0,0.0,0.36363636363636365,0.3939393939393939
