,Fp1,Oz,T8,POz,PO8,CPz,TP8,AF8
Fp1,0.6469465648854962,0.0,0.0,0.0,0.0,0.0,0.0,0.3530534351145038
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POz,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PO8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.5013550135501355,0.0,0.0,0.0,0.0,0.0,0.0,0.4986449864498645
