,Fp1,FT9,TP10,T8,FC6,AF7,POz,AF8
Fp1,0.6038095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.3961904761904762
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.5012048192771085,0.0,0.0,0.0,0.0,0.0,0.0,0.4987951807228916
