,caudalmiddlefrontal-lh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,precentral-rh,superiorfrontal-rh,superiorparietal-lh,superiortemporal-rh
caudalmiddlefrontal-lh,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
parsopercularis-lh,0.0,0.25,0.125,0.125,0.125,0.125,0.125,0.125
parstriangularis-rh,0.0,0.25,0.125,0.125,0.125,0.125,0.125,0.125
postcentral-lh,0.0,0.25,0.125,0.125,0.125,0.125,0.125,0.125
precentral-rh,0.0,0.25,0.125,0.125,0.125,0.125,0.125,0.125
superiorfrontal-rh,0.0,0.25,0.125,0.125,0.125,0.125,0.125,0.125
superiorparietal-lh,0.0,0.25,0.125,0.125,0.125,0.125,0.125,0.125
superiortemporal-rh,0.0,0.25,0.125,0.125,0.125,0.125,0.125,0.125
