,frontalpole-rh,fusiform-rh,insula-rh,isthmuscingulate-rh,lateralorbitofrontal-rh,lingual-rh,parahippocampal-rh,rostralanteriorcingulate-lh
frontalpole-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
fusiform-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
insula-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isthmuscingulate-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
lateralorbitofrontal-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
lingual-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
parahippocampal-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
rostralanteriorcingulate-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
