,frontalpole-rh,fusiform-lh,isthmuscingulate-lh,lateraloccipital-lh,lingual-lh,pericalcarine-lh,pericalcarine-rh,rostralanteriorcingulate-lh
frontalpole-rh,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
fusiform-lh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
isthmuscingulate-lh,0.0,0.0,0.5,0.0,0.08333333333333333,0.16666666666666666,0.25,0.0
lateraloccipital-lh,0.0,0.0,0.03225806451612903,0.41935483870967744,0.3225806451612903,0.12903225806451613,0.0967741935483871,0.0
lingual-lh,0.0,0.0,0.0975609756097561,0.14634146341463414,0.2926829268292683,0.24390243902439024,0.21951219512195122,0.0
pericalcarine-lh,0.0,0.0,0.14285714285714285,0.02857142857142857,0.17142857142857143,0.3142857142857143,0.34285714285714286,0.0
pericalcarine-rh,0.0,0.0,0.2222222222222222,0.0,0.1388888888888889,0.2777777777777778,0.3611111111111111,0.0
rostralanteriorcingulate-lh,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
