,cuneus-lh,frontalpole-lh,frontalpole-rh,fusiform-lh,isthmuscingulate-rh,lingual-lh,parahippocampal-lh,rostralanteriorcingulate-rh
cuneus-lh,0.5172413793103449,0.0,0.0,0.0,0.0,0.2413793103448276,0.2413793103448276,0.0
frontalpole-lh,0.0,0.34375,0.34375,0.0,0.0,0.0,0.0,0.3125
frontalpole-rh,0.0,0.34375,0.34375,0.0,0.0,0.0,0.0,0.3125
fusiform-lh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
lingual-lh,0.21875,0.0,0.0,0.0,0.0,0.375,0.40625,0.0
parahippocampal-lh,0.23333333333333334,0.0,0.0,0.0,0.0,0.36666666666666664,0.4,0.0
rostralanteriorcingulate-rh,0.0,0.34375,0.34375,0.0,0.0,0.0,0.0,0.3125
