,caudalanteriorcingulate-lh,entorhinal-lh,fusiform-lh,inferiortemporal-lh,isthmuscingulate-rh,middletemporal-lh,parahippocampal-rh,rostralanteriorcingulate-lh
caudalanteriorcingulate-lh,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855
entorhinal-lh,0.0,0.625,0.0,0.375,0.0,0.0,0.0,0.0
fusiform-lh,0.0,0.0,0.375,0.20833333333333334,0.0,0.4166666666666667,0.0,0.0
inferiortemporal-lh,0.0,0.2222222222222222,0.19444444444444445,0.4166666666666667,0.0,0.16666666666666666,0.0,0.0
isthmuscingulate-rh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
middletemporal-lh,0.0,0.0,0.2962962962962963,0.14814814814814814,0.0,0.5555555555555556,0.0,0.0
parahippocampal-rh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rostralanteriorcingulate-lh,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.47368421052631576
