,FC5,C3,O1,Fp2,AF3,PO3,AF8,AF4
FC5,0.7125,0.0,0.0,0.0,0.0,0.0,0.0,0.2875
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AF4,0.40336134453781514,0.0,0.0,0.0,0.0,0.0,0.0,0.5966386554621849
