,fusiform-rh,insula-rh,isthmuscingulate-rh,lateraloccipital-rh,lateralorbitofrontal-lh,lingual-rh,medialorbitofrontal-lh,precuneus-rh
fusiform-rh,0.11290322580645161,0.12903225806451613,0.11290322580645161,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613
insula-rh,0.109375,0.125,0.109375,0.125,0.140625,0.125,0.140625,0.125
isthmuscingulate-rh,0.11290322580645161,0.12903225806451613,0.11290322580645161,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613
lateraloccipital-rh,0.109375,0.125,0.109375,0.125,0.140625,0.125,0.140625,0.125
lateralorbitofrontal-lh,0.109375,0.125,0.109375,0.125,0.140625,0.125,0.140625,0.125
lingual-rh,0.109375,0.125,0.109375,0.125,0.140625,0.125,0.140625,0.125
medialorbitofrontal-lh,0.109375,0.125,0.109375,0.125,0.140625,0.125,0.140625,0.125
precuneus-rh,0.109375,0.125,0.109375,0.125,0.140625,0.125,0.140625,0.125
