,Fp1,Fz,P3,P8,TP10,PO8,P6,TP8
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TP10,0.0,0.0,0.0,0.0,0.24953617810760667,0.24953617810760667,0.2504638218923933,0.2504638218923933
PO8,0.0,0.0,0.0,0.0,0.24517906336088155,0.25252525252525254,0.25068870523415976,0.2516069788797062
P6,0.0,0.0,0.0,0.0,0.245662100456621,0.2511415525114155,0.2511415525114155,0.25205479452054796
TP8,0.0,0.0,0.0,0.0,0.24543795620437955,0.2518248175182482,0.2509124087591241,0.2518248175182482
