,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F8,Fp2,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0
Fz,0.0,0.04567699836867863,0.0,0.04730831973898858,0.04730831973898858,0.0,0.0,0.0,0.0,0.0,0.0,0.04730831973898858,0.0,0.0,0.04730831973898858,0.04730831973898858,0.04730831973898858,0.0,0.0,0.04730831973898858,0.04730831973898858,0.0,0.0,0.0,0.0,0.04730831973898858,0.04730831973898858,0.04730831973898858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04730831973898858,0.04730831973898858,0.04730831973898858,0.0,0.0,0.0,0.04241435562805873,0.0,0.04404567699836868,0.0,0.0,0.04730831973898858,0.0,0.01631321370309951,0.0,0.0,0.0,0.0,0.0,0.04730831973898858,0.0,0.04730831973898858,0.0,0.0,0.04730831973898858,0.0
F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.0,0.030612244897959183,0.0,0.049886621315192746,0.05102040816326531,0.0,0.0,0.0,0.0,0.0,0.0,0.045351473922902494,0.0,0.0,0.05102040816326531,0.05102040816326531,0.05102040816326531,0.0,0.0,0.05102040816326531,0.05102040816326531,0.0,0.0,0.0,0.0,0.05102040816326531,0.05102040816326531,0.05102040816326531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05102040816326531,0.05102040816326531,0.05102040816326531,0.0,0.0,0.0,0.02947845804988662,0.0,0.030612244897959183,0.0,0.0,0.047619047619047616,0.0,0.011337868480725623,0.0,0.0,0.0,0.0,0.0,0.046485260770975055,0.0,0.05102040816326531,0.0,0.0,0.045351473922902494,0.0
FT9,0.0,0.024106400665004156,0.0,0.03740648379052369,0.06317539484621779,0.0,0.0,0.0,0.0,0.0,0.0,0.038237738985868665,0.0,0.0,0.059850374064837904,0.059850374064837904,0.057356608478802994,0.0,0.0,0.05569409808811305,0.05236907730673317,0.0,0.0,0.0,0.0,0.05236907730673317,0.051537822111388194,0.04738154613466334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05070656691604322,0.059850374064837904,0.05901911886949293,0.0,0.0,0.0,0.021612635078969242,0.0,0.022443890274314215,0.0,0.0,0.04156275976724855,0.0,0.00831255195344971,0.0,0.0,0.0,0.0,0.0,0.043225270157938485,0.0,0.05236907730673317,0.0,0.0,0.04156275976724855,0.0
FC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.0380952380952381,0.0,0.0,0.0,0.0,0.0,0.0761904761904762,0.08571428571428572,0.0,0.0,0.08571428571428572,0.0,0.0,0.0761904761904762,0.0,0.0,0.0,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0,0.08571428571428572,0.0,0.06666666666666667,0.08571428571428572,0.08571428571428572,0.0,0.0,0.0,0.05714285714285714,0.0,0.0761904761904762,0.0,0.0,0.0
C3,0.010471204188481676,0.0,0.0,0.0,0.0,0.0,0.020942408376963352,0.14659685863874344,0.0,0.0,0.14397905759162305,0.0,0.0,0.13350785340314136,0.0,0.0,0.0,0.028795811518324606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0968586387434555,0.0,0.002617801047120419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08900523560209424,0.0,0.0,0.09424083769633508,0.0,0.01832460732984293,0.028795811518324606,0.14921465968586387,0.0,0.0,0.0,0.015706806282722512,0.0,0.020942408376963352,0.0,0.0,0.0
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP5,0.00909090909090909,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.12727272727272726,0.0,0.0,0.16590909090909092,0.0,0.0,0.1340909090909091,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0022727272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07727272727272727,0.0,0.0,0.09772727272727273,0.0,0.015909090909090907,0.025,0.17045454545454544,0.0,0.0,0.0,0.013636363636363636,0.0,0.01818181818181818,0.0,0.0,0.0
CP1,0.0,0.03172866520787746,0.0,0.045951859956236324,0.05032822757111598,0.0,0.0,0.0,0.0,0.0,0.0,0.04923413566739606,0.0,0.0,0.05032822757111598,0.05032822757111598,0.05032822757111598,0.0,0.0,0.05032822757111598,0.05032822757111598,0.0,0.0,0.0,0.0,0.05032822757111598,0.05032822757111598,0.05032822757111598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05032822757111598,0.05032822757111598,0.05032822757111598,0.0,0.0,0.0,0.028446389496717725,0.0,0.02954048140043764,0.0,0.0,0.05032822757111598,0.0,0.010940919037199124,0.0,0.0,0.0,0.0,0.0,0.05032822757111598,0.0,0.05032822757111598,0.0,0.0,0.04923413566739606,0.0
Pz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3,0.009779951100244499,0.0,0.0,0.0,0.0,0.0,0.019559902200488997,0.1271393643031785,0.0,0.0,0.15158924205378974,0.0,0.0,0.1491442542787286,0.0,0.0,0.0,0.022004889975550123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11246943765281174,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07579462102689487,0.0,0.0,0.10268948655256724,0.0,0.017114914425427872,0.022004889975550123,0.15403422982885084,0.0,0.0,0.0,0.014669926650366748,0.0,0.019559902200488997,0.0,0.0,0.0
P7,0.0,0.020336605890603085,0.0,0.03155680224403927,0.051893408134642355,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.11079943899018233,0.08906030855539972,0.05329593267882188,0.0,0.0,0.051893408134642355,0.04628330995792426,0.0,0.0,0.0,0.0,0.047685834502103785,0.047685834502103785,0.04067321178120617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046984572230014024,0.056100981767180924,0.0729312762973352,0.0,0.0,0.0,0.0182328190743338,0.0,0.018934081346423562,0.0,0.0,0.03506311360448808,0.0,0.0070126227208976155,0.0,0.0,0.0,0.0,0.0,0.04207573632538569,0.0,0.04417952314165498,0.0,0.0,0.03506311360448808,0.0
O1,0.0,0.020984081041968163,0.0,0.03256150506512301,0.053545586107091175,0.0,0.0,0.0,0.0,0.0,0.0,0.03328509406657019,0.0,0.0,0.0918958031837916,0.09044862518089725,0.05499276410998553,0.0,0.0,0.053545586107091175,0.04775687409551375,0.0,0.0,0.0,0.0,0.049204052098408106,0.049204052098408106,0.041968162083936326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04848046309696093,0.05788712011577424,0.06729377713458755,0.0,0.0,0.0,0.01881331403762663,0.0,0.019536903039073805,0.0,0.0,0.0361794500723589,0.0,0.00723589001447178,0.0,0.0,0.0,0.0,0.0,0.04341534008683068,0.0,0.045586107091172216,0.0,0.0,0.0361794500723589,0.0
Oz,0.0,0.023125996810207338,0.0,0.03588516746411483,0.05661881977671451,0.0,0.0,0.0,0.0,0.0,0.0,0.03668261562998405,0.0,0.0,0.06060606060606061,0.06060606060606061,0.05980861244019139,0.0,0.0,0.058213716108452954,0.05263157894736842,0.0,0.0,0.0,0.0,0.05422647527910686,0.05422647527910686,0.046251993620414676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05342902711323764,0.06060606060606061,0.06060606060606061,0.0,0.0,0.0,0.02073365231259968,0.0,0.0215311004784689,0.0,0.0,0.03987240829346093,0.0,0.007974481658692184,0.0,0.0,0.0,0.0,0.0,0.046251993620414676,0.0,0.050239234449760764,0.0,0.0,0.03987240829346093,0.0
O2,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0967741935483871,0.0,0.0,0.0967741935483871,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.08870967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.0967741935483871,0.0,0.056451612903225805,0.08870967741935484,0.0967741935483871,0.0,0.0,0.0,0.04838709677419355,0.0,0.06451612903225806,0.0,0.0,0.0
P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.02333065164923572,0.0,0.036202735317779566,0.05551086082059534,0.0,0.0,0.0,0.0,0.0,0.0,0.03700724054706356,0.0,0.0,0.05953338696701529,0.05953338696701529,0.05953338696701529,0.0,0.0,0.058728881737731296,0.05309734513274336,0.0,0.0,0.0,0.0,0.054706355591311345,0.054706355591311345,0.04666130329847144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053901850362027354,0.05953338696701529,0.05953338696701529,0.0,0.0,0.0,0.02091713596138375,0.0,0.02172164119066774,0.0,0.0,0.04022526146419952,0.0,0.008045052292839904,0.0,0.0,0.0,0.0,0.0,0.04666130329847144,0.0,0.050683829444891394,0.0,0.0,0.04022526146419952,0.0
TP10,0.0,0.02465986394557823,0.0,0.03826530612244898,0.055272108843537414,0.0,0.0,0.0,0.0,0.0,0.0,0.0391156462585034,0.0,0.0,0.05612244897959184,0.05612244897959184,0.05612244897959184,0.0,0.0,0.05612244897959184,0.055272108843537414,0.0,0.0,0.0,0.0,0.055272108843537414,0.05442176870748299,0.04931972789115646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05357142857142857,0.05612244897959184,0.05612244897959184,0.0,0.0,0.0,0.022108843537414966,0.0,0.02295918367346939,0.0,0.0,0.04251700680272109,0.0,0.008503401360544218,0.0,0.0,0.0,0.0,0.0,0.04591836734693878,0.0,0.05357142857142857,0.0,0.0,0.04251700680272109,0.0
CP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
