,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,entorhinal-lh,parsorbitalis-lh,pericalcarine-lh,posteriorcingulate-rh,temporalpole-lh
bankssts-rh,0.9180327868852459,0.0,0.0,0.0,0.08196721311475409,0.0,0.0,0.0
caudalanteriorcingulate-lh,0.0,0.5543478260869565,0.44565217391304346,0.0,0.0,0.0,0.0,0.0
caudalanteriorcingulate-rh,0.0,0.44047619047619047,0.5595238095238095,0.0,0.0,0.0,0.0,0.0
entorhinal-lh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
parsorbitalis-lh,0.03125,0.0,0.0,0.0,0.875,0.09375,0.0,0.0
pericalcarine-lh,0.0,0.0,0.0,0.0,0.07526881720430108,0.6881720430107527,0.23655913978494625,0.0
posteriorcingulate-rh,0.0,0.0,0.0,0.0,0.0,0.1981981981981982,0.8018018018018018,0.0
temporalpole-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
