,Fz,Pz,TP10,F8,Fp2,F1,CPz,F2
Fz,0.32653061224489793,0.336734693877551,0.0,0.336734693877551,0.0,0.0,0.0,0.0
Pz,0.3173076923076923,0.33653846153846156,0.0,0.34615384615384615,0.0,0.0,0.0,0.0
TP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,0.20253164556962025,0.21518987341772153,0.0,0.5822784810126582,0.0,0.0,0.0,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,0.0,0.0,0.0,0.0,0.0,0.496551724137931,0.503448275862069,0.0
CPz,0.0,0.0,0.0,0.0,0.0,0.4277456647398844,0.5722543352601156,0.0
F2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
